grant_title,program_source,administering_agency,funding_pool,maximum_award,minimum_award,matching_requirements,contractor_eligibility,subcontractor_eligibility,application_portal,application_deadline,award_cycle,geographic_scope,eligible_service_lines,required_certifications,reporting_burden,reimbursement_structure,scoring_criteria_notes,strategic_priority,source_url,notes
Illegal Disposal Site Abatement Grant Program (Cycle 104/106),CalRecycle,California Department of Resources Recycling and Recovery,"$1,000,000 per fiscal year","$500,000 per award",None specified,None specified,No - public entities only (counties/cities/districts/state agencies/JPAs),YES - public entities hire contractors for cleanup work,CalRecycle Grants Management System (GMS),FY 2025-26 CLOSED; FY 2026-27 expected Sept 2026,Annual - typically Oct/Feb deadlines,California statewide,Illegal dumping cleanup / solid waste remediation / debris removal,None for contractor; public entity must apply,Moderate - final report and payment request by June 30 2028,Reimbursement grant - costs incurred then reimbursed,Competitive - typically $2M-$5M in requests vs $1M available,HIGH - Prime Pathwy as subcontractor to public entity applicants,https://calrecycle.ca.gov/lea/grantsloans/solidwaste/lea/fy202526/,"STRATEGY: Partner with Solano/Sacramento/Alameda/Contra Costa/San Joaquin counties as their cleanup contractor. County applies for grant; Prime Pathwy performs the work. This is a direct revenue path."
Farm and Ranch Solid Waste Cleanup and Abatement Grant Program (Cycle 91),CalRecycle,California Department of Resources Recycling and Recovery,"$200,000 per award (max $50K per site)","$200,000 per award","$50,000 per site",None specified,No - public entities only,YES - public entities hire contractors,CalRecycle GMS,July 8 2026 (Cycle 91),Annual - typically July deadline,California statewide - farm/ranch properties,Farm/ranch debris cleanup / solid waste removal,None for contractor,Moderate,Reimbursement grant,Competitive,HIGH - subcontractor opportunity,https://calrecycle.ca.gov/lea/grantsloans/farmranch/fy202526/,"STRATEGY: Same as above - partner with county agricultural departments. Solano and San Joaquin counties have significant agricultural land."
Tire Incentive Program (TIP) - FY 2026-27 Cycle 28,CalRecycle,California Department of Resources Recycling and Recovery,"$3,200,000 annual pool","$650,000 per award","$25,000 per award",None specified,YES - manufacturers using recycled crumb rubber,N/A - direct applicant program,CalRecycle GMS,June 2026 (tentative - FY 2026-27),Annual - typically June deadline,California statewide,Tire-derived product manufacturing / crumb rubber use,None specified,Moderate - quarterly reporting,Incentive payment per pound of crumb rubber used,Volume of crumb rubber used,MEDIUM - requires manufacturing component,https://calrecycle.ca.gov/tires/grants/tip/,"NOTE: Prime Pathwy would need to manufacture tire-derived products to qualify. More relevant as a subcontractor to tire processors. Monitor for tire COLLECTION opportunities."
Tire Derived Aggregate Grant Program (TDA) - FY 2026-27 Cycle 28,CalRecycle,California Department of Resources Recycling and Recovery,TBD,TBD,TBD,None specified,YES - eligible applicants include businesses using TDA,N/A,CalRecycle GMS,July 16 2026,Annual,California statewide,Tire-derived aggregate use in construction/civil engineering,None specified,Moderate,Reimbursement/incentive,TBD,MEDIUM - monitor for alignment,https://calrecycle.ca.gov/tires/grants/tda/fy202526/,Monitor for FY 2026-27 guidelines
EPA Brownfields Cleanup Grants (FY 2026),U.S. Environmental Protection Agency,EPA Office of Brownfields and Land Revitalization,TBD per cycle,"$500,000 per site (cleanup grants)",None specified,None specified,No - government/nonprofit entities only; contractors hired for cleanup work,YES - eligible entities hire private contractors for remediation,Grants.gov / simpler.grants.gov,FY 2026 CLOSED (Jan 28 2026); FY 2027 expected Nov 2026,Annual,Nationwide - California eligible,Environmental remediation / brownfield cleanup / hazardous substance removal,None for contractor; entity must apply,High - EPA reporting requirements,Reimbursement,Community benefit / site contamination severity / redevelopment plan,HIGH - subcontractor opportunity,https://www.epa.gov/brownfields/fy-2026-brownfields-multipurpose-assessment-and-cleanup-grant-competition,"STRATEGY: Identify brownfield sites in target counties. Partner with city/county redevelopment agencies applying for EPA Brownfields grants. Prime Pathwy performs the cleanup work."
FEMA Hazard Mitigation Grant Program (HMGP),FEMA,Federal Emergency Management Agency,Tied to disaster declarations,Varies by project,None specified,25% local match typically required,No - state/local governments apply; contractors hired,YES - local governments hire contractors for mitigation work,CalOES / FEMA,Tied to disaster declarations,Post-disaster,California - disaster-declared areas,Debris removal / hazard mitigation / disaster cleanup,SAM.gov registration required for contractors,High - FEMA reporting requirements,Reimbursement,Hazard reduction effectiveness / cost-benefit ratio,HIGH - disaster response is immediate revenue,https://www.caloes.ca.gov/office-of-the-director/operations/recovery-directorate/hazard-mitigation/hm-grant-opportunities/hma-hmgp/,"STRATEGY: Register in SAM.gov Disaster Response Registry. Register with Army Corps of Engineers Contractor Registry. Build relationships with CalOES and county emergency managers. LA Wildfire DR-4856-CA declared Jan 2025 - monitor for NorCal disaster declarations."
FEMA Public Assistance - Debris Removal (Category A),FEMA,Federal Emergency Management Agency,Tied to disaster declarations,Varies by project,None specified,None for contractor,No - government entities apply; contractors hired,YES - government entities hire local contractors,FEMA / State Emergency Management,Post-disaster declaration,Post-disaster,California - disaster-declared areas,Debris removal / disaster cleanup / environmental services,SAM.gov registration; Disaster Response Registry,Moderate,Reimbursement through government entity,Speed of response / local presence,CRITICAL - fastest disaster revenue path,https://www.fema.gov/business-industry/doing-business,"STRATEGY: Register in SAM.gov Disaster Response Registry NOW. Submit FEMA Vendor Profile Form. Build local government relationships in all 5 target counties. When disaster strikes, local vendors are preferred. LA Wildfire 2025 is proof of concept."
SBA Economic Injury Disaster Loans (EIDL),U.S. Small Business Administration,SBA,Ongoing,Up to $2,000,000 per business,None,None - this is a LOAN not a grant,YES - small businesses directly apply,N/A,SBA.gov / DisasterLoanAssistance.sba.gov,Post-disaster declaration,Post-disaster,California - disaster-declared areas,Any small business affected by disaster,SBA small business size standards,Low - standard loan reporting,Loan (not grant) - repayment required,Business impact / creditworthiness,MEDIUM - capital access for disaster-affected operations,https://www.sba.gov/funding-programs/loans/disaster-assistance,"NOTE: This is a LOAN program not a grant. Useful for capital access after disaster impacts Prime Pathwy operations. Current: SBA offering relief for 2025 Late December Storms and 2026 Drought."
California IBank Small Business Loan Guarantee Program,California Infrastructure and Economic Development Bank,California IBank,"Ongoing - revolving",Up to $2,500,000 (guarantee),None,None - guarantee reduces lender risk,YES - small businesses directly apply,N/A,California Small Business Loan Match (caloanmatch.org),Continuous,Continuous,California statewide,Any small business - facility/equipment/working capital,SBA small business size standards; California-based,Low - standard loan reporting,Loan guarantee (reduces interest rate and collateral requirements),Credit history / business plan / job creation,HIGH - capital access for equipment and fleet,https://www.ibank.ca.gov/small-business/loan-guarantees/,"STRATEGY: Use IBank guarantee to finance equipment purchases (trucks, cleaning equipment) at lower rates. Reduces capital barriers for scaling operations."
California Community Reinvestment Grants (CalCRG),GO-Biz / California Governor's Office of Business and Economic Development,GO-Biz,"$48,000,000 total pool",Varies by project,None specified,None specified,No - nonprofits and local health departments only,Potentially - nonprofits may hire contractors,California Grants Portal (grants.ca.gov),Phase 2 deadline was December 3 2025; FY 2026-27 TBD,Annual,California statewide - focus on underserved communities,Job placement / mental health / community services,501(c)(3) nonprofit status required for direct application,High - CalCRG reporting requirements,Reimbursement,Community impact / equity focus,LOW DIRECT - but HIGH for partnership,https://business.ca.gov/california-community-reinvestment-grants-program/,"NOTE: Prime Pathwy cannot apply directly. STRATEGY: Partner with community nonprofits in Vallejo/Richmond/Antioch who receive CalCRG funds and need cleanup/facility services as part of their programs."
CalOSBA Technical Assistance Program (TAP) 2025-2026,California Office of the Small Business Advocate,CalOSBA,TBD,TBD,None,None,No - technical assistance providers apply,N/A - TA program not direct business grants,CalOSBA,TBD,Annual,California statewide,Small business technical assistance and support,Technical assistance provider qualifications,Moderate,Grant to TA providers,Underserved community focus,LOW DIRECT - but access free TA services,https://calosba.ca.gov/for-small-businesses-and-non-profits/funding-opportunities-for-small-businesses-and-nonprofits/,"NOTE: Prime Pathwy should ACCESS services from CalOSBA TA providers (SBDC/APEX) not apply for this grant. Free business advising is available."
Household Hazardous Waste Grant Program (Cycle 45) - FY 2025-26,CalRecycle,California Department of Resources Recycling and Recovery,TBD,"$500,000 per award",None,None specified,No - local governments/jurisdictions only,YES - local governments hire contractors,CalRecycle GMS,CLOSED FY 2025-26; FY 2026-27 expected,Annual,California statewide,Household hazardous waste collection and disposal,None for contractor,Moderate,Reimbursement,Program effectiveness / diversion rates,HIGH - subcontractor opportunity,https://calrecycle.ca.gov/homehazwaste/grants/cycle45/qanda/,"STRATEGY: Partner with Solano/Sacramento/Contra Costa/Alameda/San Joaquin counties as HHW collection event contractor."
