company_name,hq_city,hq_state,service_area,certifications,estimated_revenue,government_experience,naics_primary,website,phone,specialties,years_in_operation,notes
ABM Industries,New York,NY,Nationwide,Large Business,$3B+,Federal/VA/GSA,561720,https://www.abm.com,,Janitorial/Facilities/Engineering,100+,Dominant national player; GSA Schedule
Aramark,Philadelphia,PA,Nationwide,Large Business,$18B+,Federal/DoD/VA,561210,https://www.aramark.com,,Integrated Facilities/Food Service,100+,Largest integrated services
Sodexo,Gaithersburg,MD,Nationwide,Large Business,$22B+,Federal/Military/Healthcare,561210,https://www.sodexo.com,,Facilities/Food/Healthcare,60+,Global facilities leader
PRIDE Industries,Roseville,CA,Northern CA + National,AbilityOne/SB,$200M+,Federal/VA/USCG,561720,https://www.prideindustries.com,,Janitorial/Facilities/Mfg,50+,AbilityOne set-asides; Sacramento area
Dial General Engineering,Sacramento,CA,Northern CA,SB,$10M+,VA/Federal,238990,,,Construction/Facilities,20+,Active VA contractor Sacramento 2025
Jan-Pro Sacramento,Sacramento,CA,Sacramento Region,Franchise,$5M+,Commercial/Some Government,561720,https://jan-pro.com/sacramento/,,Commercial Cleaning,20+,Franchise model
Clear Choice Janitorial,Sacramento,CA,Sacramento,SB,$500K-$1M,Commercial/Government,561720,https://clearchoicejanitorial.com/sacramento-ca/,(916) 750-0101,Janitorial,10+,Sacramento commercial + government
Summit Facility Solutions,Sacramento,CA,Sacramento Region,SB/$5M GL,$1M-$5M,Commercial/Government,561720,https://www.summitfacilitysolutions.com,,Janitorial/Facilities,10+,$5M GL insured; compliance-focused
Bay Area Commercial Cleaning Pros,San Francisco,CA,Bay Area,SB,$500K-$2M,Commercial,561720,,(925) 709-5362,Commercial Office Cleaning,5+,Bay Area focus
Clean Solution Services,San Francisco,CA,Bay Area,SB/GSA Schedule,$2M+,Federal/GSA,561720,https://cleansolutionservices.com,,GSA Schedule 561720,10+,Bay Area GSA contractor
Tri County Building Maintenance,Northern CA,CA,Multi-County,SB,$500K-$2M,Government Facilities,561210,,,Facilities Maintenance,15+,Government facilities focus
Marina Zepeda Tri County,Northern CA,CA,Multi-County,SB,$500K-$2M,Government,561210,,,Facilities Maintenance,10+,Government contractor
