Timestamp,Category,Asset Name,Path,Status,Message
2026-05-25 15:36:13,CATEGORY_A,SOVEREIGN_BUILD_DIRECTIVE.md,agents/SOVEREIGN_BUILD_DIRECTIVE.md,COMPLIANT,Valid Markdown Asset (Type: agents)
2026-05-25 15:45:12,CATEGORY_A,GRANT_TO_OPS_PROPOSAL_SYSTEM.md,workflows/GRANT_TO_OPS_PROPOSAL_SYSTEM.md,COMPLIANT,Valid Markdown Asset (Type: workflows)
2026-05-25 15:45:12,CATEGORY_A,BAAQMD_VIP_PATHWAY_FRAMEWORK.md,workflows/BAAQMD_VIP_PATHWAY_FRAMEWORK.md,COMPLIANT,Valid Markdown Asset (Type: workflows)
2026-05-25 15:45:12,CATEGORY_A,SOLANO_WORKFORCE_STABILITY_GRANT_SYSTEM.md,workflows/SOLANO_WORKFORCE_STABILITY_GRANT_SYSTEM.md,COMPLIANT,Valid Markdown Asset (Type: workflows)
2026-05-25 15:53:45,CATEGORY_B,CLIENT_ONBOARDING_COMPLIANCE_SOP.md,workflows/CLIENT_ONBOARDING_COMPLIANCE_SOP.md,COMPLIANT,Valid Markdown Asset (Type: workflows)
2026-05-25 15:53:45,CATEGORY_A,COMBINED_CAPITAL_STACK_PRESENTATION.md,workflows/COMBINED_CAPITAL_STACK_PRESENTATION.md,COMPLIANT,Valid Markdown Asset (Type: workflows)
2026-05-25 15:53:45,CATEGORY_D,README_PRIME_PATHWY.md,README_PRIME_PATHWY.md,NON-COMPLIANT,"Markdown files (.md) must reside in /workflows, /agents, or /temporary, not /arthurappling-ISE-DYNAMICE."
2026-05-25 15:54:02,CATEGORY_B,CLIENT_ONBOARDING_COMPLIANCE_SOP.md,workflows/CLIENT_ONBOARDING_COMPLIANCE_SOP.md,COMPLIANT,Valid Markdown Asset (Type: workflows)
2026-05-25 15:54:02,CATEGORY_A,COMBINED_CAPITAL_STACK_PRESENTATION.md,workflows/COMBINED_CAPITAL_STACK_PRESENTATION.md,COMPLIANT,Valid Markdown Asset (Type: workflows)
2026-05-25 15:54:02,CATEGORY_D,README_PRIME_PATHWY.md,README_PRIME_PATHWY.md,NON-COMPLIANT,"Markdown files (.md) must reside in /workflows, /agents, or /temporary, not /arthurappling-ISE-DYNAMICE."
