NAICS Code,Award ID,Winning Company,Award Amount ($),Start Date,End Date,Description,Awarding Agency,Place of Performance,Data Source
561720,FA442724F0003,PRIDE INDUSTRIES,"4,013,737.29",2023-10-01,2024-10-31,TRAVIS AFB CUSTODIAL SERVICE FOR FY24,Department of Defense,Travis AFB - Fairfield CA,USASpending.gov
561720,W911SA24P3084,SOLANO DIVERSIFIED SERVICES INC,"394,302.30",2024-07-01,2026-06-30,ROUTINE CUSTODIAL SERVICES,Department of Defense,Solano County CA,USASpending.gov
561720,6991PE23P000031,SOLANO DIVERSIFIED SERVICES INC,"163,830.14",2023-09-20,2028-09-19,SUISUN BAY RESERVE FLEET JANITORIAL SERVICES FY23-FY28 (ABILITYONE/SOURCE AMERICA),Department of Transportation,Suisun Bay - Solano County CA,USASpending.gov
561720,6991PE18P000069,SOLANO DIVERSIFIED SERVICES INC,"238,749.71",2018-09-19,2023-09-19,JANITORIAL SERVICES SUISUN BAY RESERVE FLEET,Department of Transportation,Suisun Bay - Solano County CA,USASpending.gov
561720,W9123825PA009,GERMRIP LLC,"4,562.50",2025-05-08,2026-03-31,FAIRFIELD JANITORIAL SERVICES,Department of Defense,Fairfield CA,USASpending.gov
561720,1240LR23P0022,RELIANCE CONTRACTORS INC,"14,640.00",2023-03-15,2028-03-14,FAIRFIELD OFFICE/WAREHOUSE CLEANING CONTRACT,Department of Agriculture,Fairfield CA,USASpending.gov
561720,W9123821P0005,C CLEAN CORP,"41,850.00",2020-12-14,2024-12-31,SOLANO MALL ARMED FORCES CAREER CENTER JANITORIAL SERVICES,Department of Defense,Solano County CA,USASpending.gov
561720,W9123825QA002,PENDING AWARD (Solicitation),TBD,2025-03-17,TBD,FAIRFIELD JANITORIAL SERVICES - US Army Corps of Engineers 1350 Travis Blvd Fairfield CA,USACE Sacramento District,Fairfield CA 94533,SAM.gov Solicitation
561720,25-337,PENDING AWARD (Solicitation),"112,752.00 (est)",2026-05-01,2029-04-30,AFTER-HOURS JANITORIAL SERVICES FOR VALLEJO DMV - 36 month contract,California DMV (State),Vallejo CA,Cal eProcure / State of CA
561720,2021-RFP-01,SOLANO DIVERSIFIED SERVICES INC (likely incumbent),"~180,000 (est 3yr)",2021-03-01,2026-03-01,JANITORIAL CLEANING SERVICES - SolTrans Vallejo Transit Center and facilities,SolTrans (Solano County Transit),Vallejo CA,SolTrans Procurement Records
562111,FA468625C0009,RECOLOGY YUBA-SUTTER,"1,087,354.00",2025-03-31,2026-03-30,REFUSE COLLECTION AND RECYCLING SERVICES - BEALE AFB,Department of Defense,Beale AFB - Marysville CA,USASpending.gov
562111,FA468619CA015,RECOLOGY YUBA-SUTTER,"4,817,067.90",2019-10-01,2025-03-30,BEALE AFB REFUSE AND RECYCLING,Department of Defense,Beale AFB - Marysville CA,USASpending.gov
562111,36C26126C0023,RECOLOGY VALLEJO,"69,363.36",2026-05-01,2027-04-30,WASTE MANAGEMENT AND RECYCLING SERVICES FOR MARE ISLAND VA CLINIC,Department of Veterans Affairs,Vallejo CA,USASpending.gov
562111,36C26125P0767,RECOLOGY VALLEJO,"65,332.32",2025-05-01,2026-04-30,WASTE MANAGEMENT SERVICES - MARE ISLAND VA CLINIC,Department of Veterans Affairs,Vallejo CA,USASpending.gov
562111,36C26124P0945,RECOLOGY VALLEJO,"62,221.20",2024-05-01,2025-04-30,WASTE MANAGEMENT VA MARE ISLAND OUT-PATIENT CLINIC,Department of Veterans Affairs,Vallejo CA,USASpending.gov
562111,36C26123P0059,SOLANO GARBAGE COMPANY,"74,985.43",2022-10-01,2026-09-30,WASTE PICKUP SERVICE,Department of Veterans Affairs,Solano County CA,USASpending.gov
562111,36C78625N50441,RECOLOGY VACAVILLE SOLANO,"29,967.72",2025-07-01,2026-06-30,SACRAMENTO WASTE PICKUP,Department of Veterans Affairs,Sacramento/Solano CA,USASpending.gov
562111,36C78624N50323,RECOLOGY VACAVILLE SOLANO,"28,274.23",2024-07-01,2025-06-30,SACRAMENTO WASTE PICKUP,Department of Veterans Affairs,Sacramento/Solano CA,USASpending.gov
562111,6973GH24F00493,ALLIED WASTE SYSTEMS INC,"130,945.50",2024-03-04,2025-02-28,SOLID WASTE FUNDING - TRAVIS AREA FAA FACILITIES,Department of Transportation,Travis/Fairfield CA,USASpending.gov
562111,6973GH23F00778,ALLIED WASTE SYSTEMS INC,"124,353.96",2023-03-09,2024-02-29,SOLID WASTE CONTRACT FUNDING - TRAVIS AREA FAA FACILITIES,Department of Transportation,Travis/Fairfield CA,USASpending.gov
